,date,diff
147,2017-05-28,0.0033400654792785645
148,2017-05-29,0.003284454345703125
149,2017-05-30,0.005546092987060547
150,2017-05-31,-0.0014849305152893066
151,2017-06-01,0.009420156478881836
152,2017-06-02,0.0010259747505187988
153,2017-06-03,-0.0010178685188293457
154,2017-06-04,-0.001744687557220459
155,2017-06-05,0.0004228949546813965
156,2017-06-06,0.007232725620269775
157,2017-06-07,0.0045615434646606445
158,2017-06-08,0.0026482343673706055
159,2017-06-09,0.0033167600631713867
160,2017-06-10,0.001979351043701172
161,2017-06-11,0.0015163421630859375
162,2017-06-12,0.0037078857421875
163,2017-06-13,-0.004922151565551758
164,2017-06-14,0.00371474027633667
165,2017-06-15,4.976987838745117e-05
166,2017-06-16,0.005150198936462402
167,2017-06-17,0.00837099552154541
